18 recordings, train split, ASR = large-v3-turbo, update every 1 s
{'kappa': 0.8, 'max_speed': 4.0, 'p_back': 0.05, 'p_teleport': 1e-05}  line 0.746  ±1 0.949  dua 0.980  wrong 0.004  lag 1.6
{'kappa': 0.8, 'max_speed': 4.0, 'p_back': 0.05, 'p_teleport': 0.0001}  line 0.745  ±1 0.949  dua 0.981  wrong 0.004  lag 1.6
{'kappa': 0.8, 'max_speed': 4.0, 'p_back': 0.05, 'p_teleport': 0.001}  line 0.745  ±1 0.948  dua 0.980  wrong 0.004  lag 1.6

best: {'kappa': 0.15, 'max_speed': 2.5, 'p_back': 0.05, 'back_words': 8, 'p_teleport': 0.001, 'start_weight': 0.5, 'start_words': 12, 'min_dua_confidence': 0.5} {'line_acc': 0.7779034466337282, 'line_acc_pm1': 0.9436275968807667, 'dua_acc': 0.9742246562295375, 'wrong_dua_shown': 0.0017262932317399845, 'refrain_acc': 0.716304347826087, 'lag_median_s': 0.8324999999999818, 'lines_missed': 0.04806934594168637, 'hours': 4.666388888888889}
18 recordings, train split, ASR = large-v3-turbo, update every 1 s

{'kappa_search': 0.15, 'lock_confidence': 0.8, 'p_teleport': 0.001, 'start_weight': 0.3}  line 0.803  ±1 0.968  wrong 0.002  id@5s 0.17  id@10s 0.62  lag 0.9  obj 0.902
{'kappa_search': 0.15, 'lock_confidence': 0.8, 'p_teleport': 0.001, 'start_weight': 0.5}  line 0.803  ±1 0.968  wrong 0.001  id@5s 0.14  id@10s 0.60  lag 0.9  obj 0.895
{'kappa_search': 0.15, 'lock_confidence': 0.8, 'p_teleport': 0.01, 'start_weight': 0.3}  line 0.804  ±1 0.969  wrong 0.002  id@5s 0.17  id@10s 0.62  lag 0.9  obj 0.903
{'kappa_search': 0.15, 'lock_confidence': 0.8, 'p_teleport': 0.01, 'start_weight': 0.5}  line 0.803  ±1 0.969  wrong 0.001  id@5s 0.14  id@10s 0.60  lag 0.9  obj 0.895
{'kappa_search': 0.15, 'lock_confidence': 0.95, 'p_teleport': 0.001, 'start_weight': 0.3}  line 0.803  ±1 0.968  wrong 0.002  id@5s 0.17  id@10s 0.62  lag 0.9  obj 0.902
{'kappa_search': 0.15, 'lock_confidence': 0.95, 'p_teleport': 0.001, 'start_weight': 0.5}  line 0.803  ±1 0.968  wrong 0.001  id@5s 0.14  id@10s 0.60  lag 0.9  obj 0.895
{'kappa_search': 0.15, 'lock_confidence': 0.95, 'p_teleport': 0.01, 'start_weight': 0.3}  line 0.804  ±1 0.969  wrong 0.002  id@5s 0.17  id@10s 0.62  lag 0.9  obj 0.903
{'kappa_search': 0.15, 'lock_confidence': 0.95, 'p_teleport': 0.01, 'start_weight': 0.5}  line 0.803  ±1 0.969  wrong 0.001  id@5s 0.14  id@10s 0.60  lag 0.9  obj 0.895
{'kappa_search': 0.4, 'lock_confidence': 0.8, 'p_teleport': 0.001, 'start_weight': 0.3}  line 0.806  ±1 0.973  wrong 0.002  id@5s 0.80  id@10s 0.93  lag 0.9  obj 1.022
{'kappa_search': 0.4, 'lock_confidence': 0.8, 'p_teleport': 0.001, 'start_weight': 0.5}  line 0.806  ±1 0.973  wrong 0.002  id@5s 0.78  id@10s 0.93  lag 0.9  obj 1.021
{'kappa_search': 0.4, 'lock_confidence': 0.8, 'p_teleport': 0.01, 'start_weight': 0.3}  line 0.805  ±1 0.972  wrong 0.002  id@5s 0.80  id@10s 0.93  lag 0.9  obj 1.021
{'kappa_search': 0.4, 'lock_confidence': 0.8, 'p_teleport': 0.01, 'start_weight': 0.5}  line 0.805  ±1 0.972  wrong 0.002  id@5s 0.78  id@10s 0.93  lag 0.9  obj 1.020
{'kappa_search': 0.4, 'lock_confidence': 0.95, 'p_teleport': 0.001, 'start_weight': 0.3}  line 0.806  ±1 0.973  wrong 0.002  id@5s 0.80  id@10s 0.93  lag 0.9  obj 1.023
{'kappa_search': 0.4, 'lock_confidence': 0.95, 'p_teleport': 0.001, 'start_weight': 0.5}  line 0.807  ±1 0.973  wrong 0.001  id@5s 0.78  id@10s 0.93  lag 0.9  obj 1.021
{'kappa_search': 0.4, 'lock_confidence': 0.95, 'p_teleport': 0.01, 'start_weight': 0.3}  line 0.809  ±1 0.973  wrong 0.002  id@5s 0.80  id@10s 0.93  lag 0.9  obj 1.025
{'kappa_search': 0.4, 'lock_confidence': 0.95, 'p_teleport': 0.01, 'start_weight': 0.5}  line 0.809  ±1 0.972  wrong 0.001  id@5s 0.78  id@10s 0.93  lag 0.9  obj 1.023
{'kappa_search': 0.8, 'lock_confidence': 0.8, 'p_teleport': 0.001, 'start_weight': 0.3}  line 0.807  ±1 0.974  wrong 0.004  id@5s 0.90  id@10s 0.95  lag 0.9  obj 1.038
{'kappa_search': 0.8, 'lock_confidence': 0.8, 'p_teleport': 0.001, 'start_weight': 0.5}  line 0.807  ±1 0.974  wrong 0.003  id@5s 0.90  id@10s 0.95  lag 0.9  obj 1.038
{'kappa_search': 0.8, 'lock_confidence': 0.8, 'p_teleport': 0.01, 'start_weight': 0.3}  line 0.807  ±1 0.974  wrong 0.004  id@5s 0.90  id@10s 0.95  lag 0.9  obj 1.038
